"""TiK ToK""",Ke$ha,Electropop,RCA,"Kesha, Dr. Luke, Benny Blanco","Dr. Luke, Benny Blanco"
"""Ass Back Home""",Gym Class Heroes,Pop rap,Fueled by Ramen,"Travie McCoy, Disashi Lumumba-Kasongo, Eric Roberts, Matt McGinley, Benjamin Levin, Ammar Malik, Daniel Omelio, David Silberstein[1]","Benny Blanco, Robopop[2]"
"""Wanted""",Hunter Hayes,"Country
country pop",Atlantic,"Hunter Hayes
Troy Verges","Dann Huff
Hunter Hayes"
"""Drunk on You""",Luke Bryan,Bro-country,Capitol Nashville,"Rodney Clawson
Chris Tompkins
Josh Kear","Jeff Stevens
Mark Bright"
"""No Lie""",2 Chainz,"Hip hop, southern hip hop",Def Jam,"Tauheed Epps, Aubrey Graham, Michael Williams, Marquel Middlebrooks","Mike WiLL Made It, Marz"
"""Want U Back""",Cher Lloyd,"Dance-pop
bubblegum pop
synthpop","Syco Music
Sony
Epic Records","Shellback
Savan Kotecha",Shellback
"""Don't Wake Me Up""",Chris Brown,EDM,RCA,"Alain Whyte
Allessandro Benassi
Brian Kennedy
Chris Brown
Jean-Baptiste
Marco Benassi
Michael McHenry
Nick Marsh
Priscilla Hamilton
Ryan Buendia
William Orbit","Benny Benassi
Alle Benassi
Free School
William Orbit
Brian ""BK"" Kennedy"
"""Dance (Ass)""",Big Sean,Hip hop,"GOOD Music, Def Jam","Sean Anderson, Onika Maraj, Marcos Palacios, Ernest Clark, Marlyn Banks",Da Internz
"""Springsteen""",Eric Church,"Country
heartland rock",EMI Nashville,"Eric Church
Jeff Hyde
Ryan Tyndell",Jay Joyce
"""Brokenhearted""",Karmin,"Pop, dance-pop",Epic,"Karmin, John Hill, Claude Kelly, Henry Walter, Emily Wright, Richard Head","Cirkut, Emily Wright"
"""Not Over You""",Gavin DeGraw,"Pop rock, blue-eyed soul",RCA,"Gavin DeGraw, Ryan Tedder[2]","Ryan Tedder, Jerrod Bettis"
"""Stereo Hearts""",Gym Class Heroes,Alternative hip hop,"Decaydance
Fueled by Ramen","Travie McCoy
Adam Levine
Benjamin Levin
Sterling Fox
Ammar Malik
Dan Omelio[1]","Benny Blanco
Robopop"
"""Back In Time""",Pitbull,"Dance-pop, dubstep, hip house","Polo Grounds, RCA, Mr. 305","Armando C. Pérez, Urales Vargas, Marc Kinchen, Adrian Trejo, Mickey Baker, Sylvia Robinson, Ellas McDaniel","Marc Kinchen, DJ Big Syphe, DJ Buddha"
"""Work Out""",J. Cole,Hip hop,"Roc Nation, Columbia","Bosco Kante, Elliot Wolff, Jermaine Cole, John Stephens, Kanye West, Miri Ben-Ari, Sukmeke Rainey",J. Cole
"""Rumour Has It""",Adele,"Pop
jazz
soul",XL,"Adele
Ryan Tedder",Ryan Tedder
"""Let's Go""",Calvin Harris,"Progressive house[1]
synthpop
dance-pop","Columbia
Deconstruction
Fly Eye","Calvin Harris
Shaffer Smith",Calvin Harris
"""Good Girl""",Carrie Underwood,Country rock,Arista Nashville,"Chris DeStefano, Ashley Gorley, Carrie Underwood",Mark Bright
"""Pontoon""",Little Big Town,Country,Capitol Nashville,"Natalie Hemby
Luke Laird
Barry Dean",Jay Joyce
"""Ho Hey""",The Lumineers,Indie folk,Dualtone,"Wesley Schultz, Jeremy Fraites",Ryan Hadlock
"""Paradise""",Coldplay,"Electronic rock
pop rock
R&B[1][2]",Parlophone,"Guy Berryman
Jonny Buckland
Will Champion
Chris Martin
Brian Eno","Markus Dravs
Daniel Green
Rik Simpson
Brian Eno"
"""Blown Away""",Carrie Underwood,Country pop,Arista Nashville,"Chris Tompkins, Josh Kear",Mark Bright
"""Rolling in the Deep""",Adele,"Pop
soul
blues",XL,"Adele Adkins
Paul Epworth",Paul Epworth
"""Climax""",Usher,"Quiet storm, electronic",RCA,"Wesley Pentz, Usher Raymond IV, Ariel Rechtshaid, Redd Stylez",Diplo
"""Work Hard, Play Hard""",Wiz Khalifa,Hip hop,"Atlantic, Rostrum","Cameron Thomaz, Benjamin Levin, Mikkel Storleer Eriksen, Tor Erik Hermansen","Benny Blanco, Stargate"
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,"EDM
Europop
synthpop",Motown,"Mikkel S. Erkisen
Sia Furler
Mark Hadfield
Tor E. Hermansen
Mike Di Scala
Shaffer Smith","StarGate
Reeva & Black"
"""Pound the Alarm""",Nicki Minaj,"Eurodance
Electro
pop","Young Money, Cash Money, Universal Republic","Onika Maraj
RedOne
Carl Falk
Rami Yacoub
Bilal Hajji
Achraf Jannusi","RedOne
Falk
Yacoub"
"""Come Over""",Kenny Chesney,Country,"Blue Chair
Columbia Nashville","Sam Hunt
Shane McAnally
Josh Osborne","Buddy Cannon
Kenny Chesney"
"""Heart Attack""",Trey Songz,"R&B, electro","Songbook, Atlantic","Tremaine Neverson, Richard Butler, Benjamin Levin","Benny Blanco, Rico Love"
"""Drank In My Cup""",Kirko Bangz,"Hip hop, Chopped and Screwed, R&B",Warner,"Kirk Randle, Raul Gonzalez, Brandon Tillman",Sound M.O.B.
"""Birthday Cake""",,,"Def Jam
SRP",,
"""So Good""",B.o.B,Pop rap,"Grand Hustle, Atlantic","Bobby Ray Simmons, Jr., Ryan Tedder, Brent Kutzle",Ryan Tedder
"""50 Ways to Say Goodbye""",Train,"Pop rock
Latin pop
folk rock","Columbia
Sony","Patrick Monahan
Espen Lind
Amund Bjørklund","Espionage
Butch Walker"
"""Red Solo Cup""",Toby Keith,"Country, comedy",Show Dog-Universal,"Brett Beavers
Jim Beavers
Brad Warren
Brett Warren",Toby Keith
"""Love You like a Love Song""",Selena Gomez & the Scene,Electropop,Hollywood,"Antonina Armato
Tim James
Adam Schmalholz","Rock Mafia
Devrim Karaoglu"
"""Turn Up the Music""",Chris Brown,"EDM
house",RCA,"Alexander ""Fuego"" Palmer
Chris Brown
Damon Thomas
Harvey Mason, Jr.
Michael ""Mike J"" Jimenez
Terence Cole
Greg Bonnick
Leon Price
Hayden Chapman
Peter Renshaw","Fuego
The Underdogs"
"""Die Young""",Kesha,"Electropop
dance-pop","RCA, Kemosabe","Benjamin Levin, Henry Walter, Kesha Sebert, Lukasz Gottwald, Nate Ruess[2]","Dr. Luke, Cirkut, Benny Blanco"
"""5 O'Clock""",T-Pain,"R&B, hip hop",Nappy Boy/Konvict/RCA,"Gary Barlow, Mark Owen, Greg Kurstin, Lily Allen, Howard Donald, Faheem Najm, Jason Orange, Cameron Thomaz, Stephen Robson[1]",T-Pain
"""A Thousand Years""",Christina Perri,,"Atlantic, Chop Shop","Christina Perri, David Hodges",
"""Take a Little Ride""",Jason Aldean,Bro-country,Broken Bow,"Dylan Altman
Jim McCormick
Rodney Clawson",Michael Knox
"""You da One""",Rihanna,"Pop[1]
reggae[2]","Def Jam
SRP","Ester Dean
Lukasz Gottwald
Robyn Fenty
John Hill
Henry Walter","Dr. Luke
Cirkut
Kuk Harrell"
"""We Run the Night""",Havana Brown,"Dance-pop
Eurodance",Island,"Cassie Davis
Sean Ray ""Snob Scrilla"" Mullins[1]",More Mega
"""It's Time""",Imagine Dragons,Indie rock,"Interscope
KIDinaKORNER","Ben McKee
Andrew Tolman+
Brittany Tolman+
Dan Reynolds
Wayne Sermon
Daniel Platzman+","Brandon Darner
Ben McKee
Andrew Tolman+
Dan Reynolds
Brittany Tolman+
Daniel Platzman+
Wayne Sermon"
"""Cashin' Out""",Cash Out,Hip hop,Epic,John Gibson,DJ Spinz
"""I Don't Want This Night to End""",Luke Bryan,Bro-country,Capitol Nashville,"Luke Bryan
Dallas Davidson
Rhett Akins
Ben Hayslip","Jeff Stevens
Mark Bright"
"""Diamonds""",Rihanna,"Electronic
pop","Def Jam
SRP","Sia Furler
Benjamin Levin
Mikkel S. Eriksen
Tor Erik Hermansen","Benny Blanco
StarGate
Kuk Harrell"
"""Hard to Love""",Lee Brice,Country,Curb,"Billy Montana
John Ozier
Ben Glover","Kyle Jacobs
Matt McClure"
"""Somethin' 'Bout a Truck""",Kip Moore,Bro-country,MCA Nashville,"Kip Moore
Dan Couch",Brett James
"""Adorn""",Miguel,"R&B,[2] electro soul[3]",RCA,Miguel Pimentel,Miguel
"""Fly Over States""",Jason Aldean,Country,Broken Bow,"Neil Thrasher
Michael Dulaney",Michael Knox
"""Even If It Breaks Your Heart""",Eli Young Band,Country,Republic Nashville,"Will Hoge
Eric Paslay","Frank Liddell
Mike Wrucke"
"""Burn It Down""",Linkin Park,"Electronic rock
rap rock",Warner Bros.,Linkin Park,"Mike Shinoda, Rick Rubin[3]"
"""Thrift Shop""",Macklemore & Ryan Lewis,"Comedy hip hop
hipster hop",Macklemore,"Ben Haggerty
Ryan Lewis",Ryan Lewis
"""Blurred Lines""",Robin Thicke,"R&B
disco
funk","Star Trak
Interscope","Robin Thicke
Pharrell Williams
Clifford Harris, Jr.
Marvin Gaye1",Pharrell Williams
"""Radioactive""",Imagine Dragons,"Electronic rock
industrial rock
alternative rock","KIDinaKORNER
Interscope","Melvyn Gonzalez
Alexander Grant
Ben McKee
Josh Mosser
Dan Platzman
Dan Reynolds
Wayne Sermon",Alex da Kid
"""Harlem Shake""",Baauer,"Bass
hip hop
trap","Jeffree's
Mad Decent",,Baauer
"""Can't Hold Us""",Macklemore & Ryan Lewis,"Hip hop
R&B",Macklemore,"Ben Haggerty
Ryan Lewis
Ray Dalton",Ryan Lewis
"""Mirrors""",Justin Timberlake,"Pop
R&B",RCA,"Justin Timberlake
Timothy Mosley
Jerome ""J-Roc"" Harmon
James Fauntleroy","Timbaland
Justin Timberlake
Jerome ""J-Roc"" Harmon"
"""Just Give Me a Reason""",Pink,Pop,RCA,"Pink
Jeff Bhasker
Nate Ruess",Jeff Bhasker
"""When I Was Your Man""",Bruno Mars,Pop,Atlantic,"Bruno Mars
Philip Lawrence
Ari Levine
Andrew Wyatt",The Smeezingtons
"""Cruise""",Florida Georgia Line,"Bro-country (album version)
Bro-country
country rap (remix featuring Nelly)","Big Loud Mountain
Republic Nashville","Brian Kelley
Tyler Hubbard
Joey Moi
Chase Rice
Jesse Rice","Joey Moi
Jason Nevins (remix featuring Nelly)"
"""Roar""",Katy Perry,Power pop,Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Bonnie McKee
Henry Walter","Dr. Luke
Max Martin
Cirkut"
"""Locked Out of Heaven""",Bruno Mars,Reggae rock,Atlantic,"Bruno Mars
Philip Lawrence
Ari Levine","The Smeezingtons
Mark Ronson
Jeff Bhasker
Emile Haynie"
"""Ho Hey""",The Lumineers,Indie folk,Dualtone,"Wesley Schultz, Jeremy Fraites",Ryan Hadlock
"""Stay""",Rihanna,"Pop
R&B","Def Jam
SRP","Mikky Ekko
Justin Parker
Elof Loelv","Mikky Ekko
Elof Loelv
Justin Parker
Kuk Harrell"
"""Get Lucky""",Daft Punk,"French House
Disco
funk[1]","Daft Life
Columbia","Thomas Bangalter
Guy-Manuel de Homem-Christo
Nile Rodgers
Pharrell Williams","Thomas Bangalter
Guy-Manuel de Homem-Christo"
"""Royals""",Lorde,"Art pop
electropop","Lava
Republic
Universal
Virgin","Lorde
Joel Little",Joel Little
"""I Knew You Were Trouble""",Taylor Swift,"Electropop[1]
dubstep[2]
pop rock[3]",Big Machine,"Taylor Swift
Max Martin
Shellback","Max Martin
Shellback"
"""We Can't Stop""",Miley Cyrus,"Pop
R&B",RCA,"Mike L. Williams II
Pierre Ramon Slaughter
Timothy Thomas
Theron Thomas
Miley Cyrus
Douglas Davis
Ricky Walters","Mike Will Made It
P-Nasty
Rock City"
"""Wrecking Ball""",Miley Cyrus,Pop,RCA,"MoZella, Stephan Moccio, Sacha Skarbek, Kiyanu Kim, Lukasz Gottwald, and Henry Russell Walter","Dr. Luke
Cirkut"
"""Wake Me Up""",Avicii,"Progressive house[1]
soul[2]
folktronica[3]","PRMD
Lava
Columbia","Tim Bergling
Aloe Blacc
Mike Einziger
Melinda Marie Marantz
Aileen Marie Quinn","Avicii
Arash Pournouri
Mike Shinoda[4]"
"""Suit & Tie""",Justin Timberlake,R&B,RCA,"Justin Timberlake
Timothy Mosley
Jerome ""J-Roc"" Harmon
Shawn Carter
James Fauntleroy
Terrence Stubbs
Johnny Wilson
Charles Still","Timbaland
Justin Timberlake
Jerome ""J-Roc"" Harmon"
"""Cups""",'NoneType' object has no attribute 'next_sibling',"Folk-pop
a cappella",Moshi Moshi,,
"""Holy Grail""",'NoneType' object has no attribute 'next_siblings',Hip hop,"Roc-A-Fella
Roc Nation
Universal","Justin Timberlake
Shawn Carter
Terius ""The-Dream"" Nash
Timothy Mosley
Jerome Harmon
Ernest Wilson
Krist Novoselic","The-Dream
Timbaland
Jerome ""J-Roc"" Harmon
No ID"
"""Scream & Shout""",will.i.am,Dance-pop[1],Interscope,"will.i.am
Jef Martens
Jean Baptiste","Lazy Jay
will.i.am"
"""Clarity""",Zedd,EDM[1],Interscope,"Anton Zaslavski
Skylar Grey
Matthew Koma
Porter Robinson",Zedd
"""Sail""",Awolnation,"Electronic rock
alternative rock",Red Bull,Aaron Bruno,Aaron Bruno
"""Don't You Worry Child""",Swedish House Mafia,Progressive house,"Virgin
EMI","Axel Hedfors, Steve Angello, Sebastian Ingrosso, John Martin Lindström, Michel Zitron",Swedish House Mafia
"""Diamonds""",Rihanna,"Electronic
pop","Def Jam
SRP","Sia Furler
Benjamin Levin
Mikkel S. Eriksen
Tor Erik Hermansen","Benny Blanco
StarGate
Kuk Harrell"
"""I Love It""",Icona Pop,"Electropop
dance-pop
electro house
techno",Ten,"Charlotte Aitchison
Patrik Berger
Linus Eklöw","Patrik Berger
Style of Eye"
"""Safe and Sound""",Capital Cities,"Synthpop
dance-pop","Lazy Hooks
Capitol","Ryan Merchant
Sebu Simonian","Ryan Merchant
Sebu Simonian"
"""Treasure""",Bruno Mars,"Disco
funk
soul
post-disco",Atlantic,"Phredley Brown
Bruno Mars
Philip Lawrence
Ari Levine",The Smeezingtons
"""The Way""",Ariana Grande,"R&B
pop",Republic,"Harmony Samuels
Amber Streeter
Al Sherrod Lambert
Jordin Sparks
Malcolm McCormick
Brenda Russell",Harmony Samuels
"""Started from the Bottom""",Drake,Hip hop,"OVO
Aspire
Young Money
Cash Money
Republic","Aubrey Graham
Noah Shebib
Michael Coleman","Mike Zombie
Noah ""40"" Shebib (add.)"
"""Come & Get It""",Selena Gomez,"Electropop
popstep
bhangra",Hollywood,"Ester Dean
Mikkel S. Eriksen
Tor Erik Hermansen",Stargate
"""Hold On, We're Going Home""",Drake,"R&B
synthpop[1]","OVO
Aspire
Young Money
Cash Money
Republic","Aubrey Graham
Noah Shebib
Majid Al Maskati
Jordan Ullman","Nineteen85
Majid Jordan
Noah ""40"" Shebib (add.)"
"""Daylight""",Maroon 5,Soft rock,A&M/Octone,"Adam Levine
Max Martin
SAMM
Mason Levy","Levine
MdL
Max Martin"
"""Feel This Moment""",Pitbull,Dance-pop[2] EDM,"Mr. 305
Polo Grounds
RCA","Nasri Atweh
Chantal Kreviazuk
Adam Messinger
Nolan Lambroza
Armando Pérez
Christina Aguilera
Urales Vargas
Morten Harket
Paul Waaktaar-Savoy
Magne Furuholmen","Adam Messinger
Nasri Atweh
Sir Nolan
DJ Buddha"
"""Applause""",Lady Gaga,"Electropop
Eurodance","Streamline
Interscope","Stefani Germanotta
Paul ""DJ White Shadow"" Blair
Dino Zisis
Nick Monson
Martin Bresso
Nicolas Mercier
Julien Arias
William Grigahcine","Paul ""DJ White Shadow"" Blair
Lady Gaga
Dino Zisis
Nick Monson"
"""One More Night""",Maroon 5,Pop,A&M/Octone,"Adam Levine
Shellback
Max Martin
Savan Kotecha","Shellback
Max Martin"
"""Love Me""",Lil Wayne,Hip hop,"Young Money, Cash Money, Republic","Dwayne Carter, Aubrey Graham, Nayvadius Wilburn, Michael Williams, Asheton Hogan","Mike WiLL Made It, A+"
"""My Songs Know What You Did in the Dark (Light Em Up)""",Fall Out Boy,"Pop rock
electronic rock",Island,"Andy Hurley, Patrick Stump, Pete Wentz, Joe Trohman

Butch Walker
John Hill",Butch Walker
"""Fuckin' Problems""",ASAP Rocky,Hip hop,"A$AP Worldwide
Polo Grounds
RCA","Rakim Mayers
Aubrey Graham
Noah Shebib
Kendrick Duckworth
Tauheed Epps
Stephen ""Static Major"" Garrett","Noah ""40"" Shebib
C. Papi (co.)"
"""Beauty and a Beat""",Justin Bieber,"EDM
electropop
dance-pop","Island
RBMG
Schoolboy","Max Martin
Anton Zaslavski
Savan Kotecha
Onika Maraj","Max Martin
Zedd"
"""Same Love""",Macklemore & Ryan Lewis,Conscious hip hop[1],Macklemore LLC,"Ben Haggerty
Ryan Lewis
Mary Lambert",Ryan Lewis
"""Sweet Nothing""",Calvin Harris,EDM,"Deconstruction
Fly Eye
Columbia","Calvin Harris
Florence Welch
Kid Harpoon",Calvin Harris
"""Summertime Sadness""",Lana Del Rey,Trip hop[1],Interscope,"Lana Del Rey
Rick Nowels","Emile Haynie
Rick Nowels (album version)
Rick Nowels
Devrim Karaoglu (radio mix)"
"""Home""",Phillip Phillips,Folk rock[3],Interscope,"Greg Holden
Drew Pearson",Drew Pearson
"""It's Time""",Imagine Dragons,Indie rock,"Interscope
KIDinaKORNER","Ben McKee
Andrew Tolman+
Brittany Tolman+
Dan Reynolds
Wayne Sermon
Daniel Platzman+","Brandon Darner
Ben McKee
Andrew Tolman+
Dan Reynolds
Brittany Tolman+
Daniel Platzman+
Wayne Sermon"
"""Power Trip""",J. Cole,Hip hop,"Roc Nation
Columbia Records","Jermaine Cole
Hubert Laws",J. Cole
"""Girl on Fire""",Alicia Keys,R&B,RCA,"Alicia Keys
Salaam Remi
Jeff Bhasker
Billy Squier","Alicia Keys
Jeff Bhasker
Salaam Remi"
"""Heart Attack""",Demi Lovato,Electropop,Hollywood,"Mitch Allan
Jason Evigan
Sean Douglas
Nikki Williams
Aaron Philips
Demi Lovato",The Suspex
"""Love Somebody""",Maroon 5,Dance-pop,A&M/Octone,"Adam Levine
Ryan Tedder
Noel Zancanella
Nathaniel Motte","Ryan Tedder
Noel Zancanella"
"""I Will Wait""",Mumford & Sons,"Folk rock, indie folk, bluegrass",Island,Marcus Mumford,Markus Dravs
"""Try""",Pink,Pop rock,RCA,"Busbee
Ben West",Greg Kurstin
"""Wagon Wheel""",Old Crow Medicine Show,"Country
Americana
folk
bluegrass",Nettwerk,,
"""Gangnam Style""",Psy,"K-pop[1][2]
dance-pop[3][4]","YG
Universal Republic
School Boy","Park Jae-Sang
Yoo Gun-hyung[5]","Park Jae-Sang
Yoo Gun-hyung
Yang Hyun-suk[6]"
"""I Need Your Love""",Calvin Harris,"Electro house
synthpop
dance-pop","Deconstruction
Fly Eye
Columbia","Calvin Harris
Ellie Goulding",Calvin Harris
"""Die Young""",Kesha,"Electropop
dance-pop","RCA, Kemosabe","Benjamin Levin, Henry Walter, Kesha Sebert, Lukasz Gottwald, Nate Ruess[2]","Dr. Luke, Cirkut, Benny Blanco"
"""Some Nights""",Fun,"Indie pop
Afrobeat",Fueled by Ramen/Atlantic,"Jeff Bhasker, Nate Ruess, Andrew Dost and Jack Antonoff",Jeff Bhasker
"""Bad""",Wale,"Hip hop, R&B","Maybach Music Group, Atlantic","Olubowale Akintimehin, Tiara Thomas","Kelson Camp, Tiara Thomas"
"""Boys 'Round Here""",Blake Shelton,"Bro-country
country rap",Warner Bros. Nashville,"Rhett Akins
Dallas Davidson
Craig Wiseman",Scott Hendricks
"""Gone, Gone, Gone""",Phillip Phillips,"Pop rock, folk rock",Interscope,"Derek Fuhrmann, Todd Clark, Gregg Wattenberg",Gregg Wattenberg
"""Demons""",Imagine Dragons,"Alternative rock
pop rock","KIDinaKORNER
Interscope","Ben McKee
Dan Platzman
Dan Reynolds
Wayne Sermon
Alexander Grant
Josh Mosser",Alex da Kid
"""Counting Stars""",OneRepublic,Folk,"Mosley
Interscope",Ryan Tedder,"Ryan Tedder
Noel Zancanella"
"""I Cry""",Flo Rida,,"Poe Boy
Atlantic","Alex Schwartz
Joe Khajadourian
Brenda Russell
Jeff Hull
Maarten Hoogstraten
Paul Bäumer
Pierre-Antoine Melki
Raphaël Judrin
Scott Cutler
Tramar Dillard","soFLY & Nius
The Futuristics"
"""Little Talks""",Of Monsters and Men,"Indie pop, indie folk",Universal Republic,"Nanna Bryndís Hilmarsdóttir
Ragnar Þórhallsson","Of Monsters And Men
Aron Þór Arnarsson"
"""The Other Side""",Jason Derulo,Dance-pop[1],Atlantic,"Jason Desrouleaux
Martin Johnson
Joshua Coleman",Ammo
"""Berzerk""",Eminem,"Hip hop, rap rock[1][2][3][4]","Aftermath
Shady
Interscope","Marshall Mathers
William Squier
Adam Horovitz
Adam Yauch
Michael Diamond
Rick Rubin
Joseph Modeliste
Arthur Neville
Cyril Neville
Felix Cartal
Roham
Vincent Brown
Anthony Criss
Keir Gist",Rick Rubin
"""Catch My Breath""",Kelly Clarkson,Electropop,RCA,"Kelly Clarkson, Jason Halbert, Eric Olson",Sound Kollectiv
"""Crash My Party""",Luke Bryan,Country,Capitol Nashville,"Rodney Clawson
Ashley Gorley",Jeff Stevens
"""Pour It Up""",Rihanna,"Club
trap","Def Jam
Roc Nation
SRP","Robyn Fenty
Michael ""Mike Will Made It"" Williams
Theron Thomas
Timothy Thomas
Justin Garner","Mike Will Made It
J-Bo"
"""22""",Taylor Swift,Pop[1],"Big Machine
Republic","Taylor Swift
Max Martin
Shellback","Max Martin
Shellback"
"""I Want Crazy""",Hunter Hayes,Country,Atlantic,"Hunter Hayes
Lori McKenna
Troy Verges","Dann Huff
Hunter Hayes"
"""The Fox (What Does the Fox Say?)""",Ylvis,"EDM
novelty[2]","Concorde TV
Parlophone
EMI Norway","Bård Ylvisåker
Vegard Ylvisåker
Christian Løchstøer
Tor Erik Hermansen
Mikkel S. Eriksen
Nicholas Boundy","Stargate
M4SONIC"
"""Best Song Ever""",One Direction,"Pop rock
power pop
teen pop","Syco
Columbia","Wayne Hector
John Ryan
Ed Drewett
Julian Bunetta","Julian Bunetta
John Ryan
Matt Rad"
"""The A Team""",Ed Sheeran,Indie folk,"Lava
Atlantic",Ed Sheeran,Jake Gosling
"""Carry On""",Fun,"Indie rock
baroque pop",Fueled by Ramen/Atlantic/Elektra,"Jeff Bhasker, Nate Ruess, Andrew Dost, Jack Antonoff",Jeff Bhasker
"""Highway Don't Care""",Tim McGraw,Country,Big Machine,"Mark Irwin
Josh Kear
Brad Warren
Brett Warren","Byron Gallimore
Tim McGraw"
